node,lon,lat
0,-91.196021,30.4248
1,-91.193699,30.423873
2,-91.198342,30.425726999999995
3,-91.200664,30.426654
4,-91.202985,30.427581
5,-91.204351,30.425895
6,-91.196261,30.423188
7,-91.194171,30.421512000000003
8,-91.200051,30.424285
9,-91.198402,30.422731000000002
10,-91.202195,30.424494
11,-91.204031,30.423439000000002
12,-91.205892,30.423953000000004
13,-91.19654,30.42089
14,-91.194633,30.419148
15,-91.200624,30.421901000000002
16,-91.198815,30.42021
17,-91.202759,30.421441
18,-91.205168,30.421304999999997
19,-91.20734500000002,30.421945000000004
20,-91.19686700000001,30.418579
21,-91.198921,30.418047000000005
22,-91.195144,30.416795
23,-91.208734,30.419891
24,-91.201198,30.419002000000003
25,-91.203957,30.418942999999995
26,-91.206811,30.418984000000002
27,-91.200035,30.416312
28,-91.197479,30.416325
29,-91.1958,30.414479
30,-91.210128,30.417840999999996
31,-91.202571,30.416522000000004
32,-91.205237,30.416561999999995
33,-91.207642,30.416678000000005
34,-91.201139,30.414165000000004
35,-91.198458,30.414249000000005
36,-91.196808,30.412295999999998
37,-91.211304,30.415671
38,-91.209273,30.4155
39,-91.203859,30.414177
40,-91.206677,30.414154
41,-91.202243,30.411946
42,-91.199544,30.412111
43,-91.19796,30.410183000000004
44,-91.210652,30.41401
45,-91.212364,30.413458000000002
46,-91.209016,30.413155
47,-91.204916,30.411833
48,-91.207396,30.411433000000002
49,-91.203268,30.409691
50,-91.200618,30.409925
51,-91.198979,30.408002
52,-91.21133,30.412141
53,-91.213911,30.411521
54,-91.20983,30.4108
55,-91.205827,30.409402
56,-91.208284,30.408995
57,-91.204264,30.407392000000005
58,-91.201664,30.407721999999996
59,-91.200105,30.405873000000003
60,-91.212394,30.410030000000003
61,-91.215461,30.409584
62,-91.210644,30.408445
63,-91.206813,30.40706
64,-91.209312,30.406672
65,-91.205325,30.405086
66,-91.202722,30.405462
67,-91.201108,30.403684
68,-91.217009,30.407648
69,-91.213348,30.408004999999996
70,-91.215295,30.407373
71,-91.21180800000002,30.406262
72,-91.207931,30.40478
73,-91.210545,30.404478
74,-91.206515,30.402752000000003
75,-91.20384000000001,30.403109
76,-91.202121,30.401502999999998
77,-91.218558,30.405710999999997
78,-91.216346,30.405604
79,-91.214191,30.405876000000003
80,-91.213172,30.404176000000003
81,-91.20923,30.402588
82,-91.21190200000001,30.402375
83,-91.207978,30.400519000000003
84,-91.205204,30.400516000000003
85,-91.203522,30.399546000000004
86,-91.220106,30.403774
87,-91.217802,30.403558000000004
88,-91.215468,30.403697000000005
89,-91.214535,30.402090999999995
90,-91.210679,30.400485
91,-91.213327,30.400329000000003
92,-91.209613,30.398417
93,-91.207081,30.398174999999995
94,-91.204794,30.397504
95,-91.221655,30.401838
96,-91.21951,30.401493
97,-91.217118,30.401147000000005
98,-91.215651,30.399851
99,-91.212154,30.398472999999996
100,-91.214583,30.398306000000005
101,-91.211113,30.396442
102,-91.208742,30.396097000000005
103,-91.20639500000001,30.39553
104,-91.223203,30.399901
105,-91.221263,30.399518
106,-91.219281,30.399029000000002
107,-91.217633,30.3982
108,-91.213444,30.396542
109,-91.215602,30.396614
110,-91.212512,30.394579
111,-91.210316,30.394169
112,-91.208048,30.393599
113,-91.224743,30.397957000000005
114,-91.226251,30.395989000000004
115,-91.222897,30.397629
116,-91.221048,30.397077
117,-91.219266,30.396318
118,-91.217016,30.395154
119,-91.214767,30.394610000000004
120,-91.213777,30.392864999999997
121,-91.211863,30.392307
122,-91.209782,30.391739999999995
123,-91.224461,30.39587
124,-91.225851,30.394390000000005
125,-91.22776,30.394021000000002
126,-91.222708,30.395258000000002
127,-91.220967,30.394498
128,-91.218556,30.393354
129,-91.215995,30.392256
130,-91.213694,30.390670000000004
131,-91.211503,30.389870000000002
132,-91.136908,30.331656
133,-91.229268,30.392053
134,-91.230776,30.390085
135,-91.224342,30.393590000000003
136,-91.226467,30.392452
137,-91.222686,30.392695
138,-91.220344,30.391585
139,-91.217938,30.390460999999995
140,-91.215586,30.389229000000004
141,-91.21323900000002,30.388016000000004
142,-91.138333,30.333723
143,-91.13986,30.335715
144,-91.141441,30.337677000000003
145,-91.138606,30.330786
146,-91.135743,30.329432
147,-91.135355,30.326952
148,-91.233808,30.38616
149,-91.232285,30.388116
150,-91.227863,30.390153999999995
151,-91.229942,30.388506999999997
152,-91.224406,30.390892
153,-91.226125,30.389088
154,-91.22212000000002,30.389799
155,-91.219798,30.388681
156,-91.217466,30.38751
157,-91.215128,30.386316
158,-91.140471,30.333168000000004
159,-91.140933,30.331022000000004
160,-91.143144,30.339533
161,-91.142112,30.335112
162,-91.143612,30.337095000000005
163,-91.145083,30.341141000000004
164,-91.140144,30.328719
165,-91.137816,30.328056
166,-91.137206,30.325804
167,-91.13536,30.324442000000005
168,-91.13586300000001,30.321982
169,-91.23548,30.3843
170,-91.232566,30.384913999999995
171,-91.231006,30.386766000000005
172,-91.227845,30.387285000000002
173,-91.223875,30.388024000000005
174,-91.225616,30.386276999999996
175,-91.221594,30.386919
176,-91.219296,30.385770000000004
177,-91.21699,30.384584999999998
178,-91.147149,30.342582999999998
179,-91.149297,30.343899
180,-91.151499,30.345123000000005
181,-91.153793,30.346163
182,-91.14254100000001,30.329747
183,-91.142986,30.332511
184,-91.14548,30.338642999999998
185,-91.144326,30.334772000000005
186,-91.145526,30.336499
187,-91.147624,30.339791
188,-91.141911,30.327229
189,-91.139568,30.325923
190,-91.137766,30.323723000000005
191,-91.138348,30.321336999999996
192,-91.136781,30.319645999999995
193,-91.237154,30.382441
194,-91.234225,30.383073999999997
195,-91.231284,30.383678999999997
196,-91.229564,30.385482000000003
197,-91.227319,30.384485000000005
198,-91.223352,30.385197
199,-91.225076,30.383594
200,-91.22109,30.384048999999997
201,-91.218849,30.382852
202,-91.156159,30.34703
203,-91.149569,30.341400000000004
204,-91.151612,30.342585
205,-91.153311,30.343916000000004
206,-91.155431,30.344351
207,-91.144216,30.328310999999996
208,-91.144822,30.330708000000005
209,-91.145559,30.332924
210,-91.14738300000002,30.337103
211,-91.146716,30.334956000000002
