,lon,lat
1064080,-79.0690731447,33.7449232469
1748467,-76.3335963091,37.8231828559
1331138,-80.4353898212,27.946149129899997
1012637,-65.1610575196,45.397661084
220168,-95.344006132,29.212897804
106809,-95.34682671649999,29.6288896028
1593414,-75.32081,37.93844
160969,-93.8481419147,30.267987126399998
1229926,-79.0372309185,33.6628990837
235844,-90.38123900000001,29.750045
1066609,-80.60219670000001,27.85478106
891113,-80.9756520621,16.1542755315
1107162,-80.1129652163,32.720203401999996
1511604,-70.4932740574,40.9100887895
894867,-80.5613914,25.19578569
724537,-78.3508007241,34.4230647356
1262883,-79.6184547182,32.9828684307
1637381,-76.2844715415,36.8159169992
1124414,-75.3957855042,39.42318774190001
795312,-82.9478420433,15.643605629400001
1686743,-75.99031201060001,38.7157273005
822786,-81.6877185751,30.4943227662
854916,-81.10631729,28.79810408
753576,-80.5702908285,32.8676601873
1008980,-80.3837793622,32.678780793899996
538902,-96.7608598576,27.9292384027
643182,-89.02848492870001,23.474577889299997
1673917,-76.21530387,37.0687231746
648341,-82.4431488,27.11368089
1760595,-76.9325220152,38.3363481691
717298,-87.3776910516,19.8830135577
1530747,-74.4025212743,39.4615004565
1101611,-81.1897971571,31.704689299300004
1404523,-79.2811892552,33.0850854005
778261,-81.46159452,24.68838496
198851,-97.4996594386,26.4557325888
441430,-88.899108,30.398805
1684770,-76.3761728763,37.2816897243
882980,-79.5542296327,33.3992267463
1683663,-76.03075480510002,37.2384902635
1506607,-70.60240146699999,40.9690764355
120129,-94.0451162082,30.303985295100002
72089,-90.15704699999999,30.492663
561330,-77.21951,35.54421
891714,-75.2435275037,39.8590825901
539731,-88.2460587437,30.2987155725
364866,-97.3510111254,26.6142869064
1637424,-76.357051368,36.8269259756
1343424,-75.3146861419,39.085242519299996
1465650,-74.1116431813,40.1008832823
793887,-81.25855672,28.85458227
587468,-94.91843366110001,28.6639622716
740504,-77.09107491399999,35.9709607943
74258,-91.329658,30.257753000000005
1070039,-79.38922940329999,33.3550247025
1697632,-75.754555007,38.3508404977
895607,-71.7705211142,11.420020116500002
1450504,-76.1415949376,36.1354424434
789996,-81.5560504895,31.455506703
1379399,-77.5352124873,34.477577871
1417345,-77.3878976045,25.483368509499996
1105891,-76.2330150199,35.7272029063
911914,-81.4015057569,31.562450597500003
1064545,-76.94682131050001,34.9581532984
785192,-84.2515908298,17.1362985321
1068372,-55.479453867,5.8437942787
694956,-81.22780394,26.26781057
1475601,-76.276823686,36.2774056396
1093040,-70.8107548806,43.121469023500005
899200,-78.9191076537,22.4810034446
585542,-82.72382114,28.25984938
77380,-89.802188,30.567364000000005
960040,-71.1167373107,11.449218401
551803,-88.812876,29.978547
38716,-91.671892,30.323221
1033311,-80.51621188,27.48071026
415540,-89.474147,29.360191999999998
707833,-73.3175642512,40.9746670269
859851,-80.41716379,26.38385039
1462527,-75.2645823499,38.623968715100006
1147171,-79.9905797899,24.503099290399998
469256,-83.68011441,29.946416190000004
1609682,-75.6544464158,37.5014321802
307663,-94.3872844866,29.6944771052
1255042,-70.64010591430001,42.2568069038
215364,-85.02529036,30.07189463
1795861,-93.07682,30.409902000000002
1777497,-91.22711600000001,29.679409000000003
480422,-96.6177876235,28.2007194714
1117337,-68.54510060300001,44.2555423545
128161,-89.543189,30.494451000000005
1119225,-76.5586700129,35.031654877
586073,-82.68109271,27.77829197
420405,-91.441367,29.622893000000005
296894,-93.9590065495,29.953959864700003
1056278,-77.18935315649999,18.5684661095
232709,-89.621698,30.173243
1460427,-79.1313316565,33.1159950607
345441,-77.4614105075,35.6995735606
1192971,-80.51284112,27.87008766
808883,-81.25846224,24.68119187
947359,-81.585166667,30.7279266271
383046,-83.43302313000002,29.858841499999997
519191,-86.47712109999999,30.428427040000006
552937,-83.20602590000001,29.436529190000005
798464,-80.48640768,26.15477032
712851,-80.6859989,25.627738420000004
453685,-97.233212716,27.513855347600003
1719687,-76.03736265239999,37.541276859499995
442038,-82.97980806,29.31898631
770247,-77.1017978585,35.2576683433
1097488,-76.6030161785,19.845848401199998
1602763,-74.8394964055,38.3278474291
48892,-90.657131,30.273115
183842,-96.7207769317,28.5002820122
45696,-91.435796,30.539338
1391328,-71.55721879859999,41.1721438559
1794087,-92.886987,30.485357
917668,-81.5846626658,29.7116798361
1750248,-76.2371041008,38.0213980723
1160082,-77.69203428510001,24.629573737199998
157782,-97.7186700467,26.9065708045
404292,-97.2652148549,25.8528489383
616817,-82.07849329,26.64706896
1010386,-80.83093856,28.587630800000003
1004897,-81.037335017,29.027886183899998
854431,-81.69415825770001,30.6446330904
573286,-89.66935,29.379332
651116,-81.81972485,26.38129957
144084,-96.42780897670002,28.784989173000003
287939,-86.97156734,30.65622443
1105849,-76.547047741,35.9394863228
1809174,-92.478076,30.441841999999998
1337661,-67.0580607016,18.510056624100002
970661,-74.0258098771,40.8951575547
710168,-81.69577271880001,31.539143768000002
896586,-76.4751842326,35.7072559439
790584,-81.5403467471,29.1909397168
1358129,-54.779937396,20.1066483528
1612446,-76.48557469640001,36.68188692190001
1690781,-75.6439454457,37.8733817676
664108,-81.8180537052,31.677383931999998
256229,-97.39627307290002,27.6140981324
1131022,-76.5252956055,35.9586406146
